ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00030669;Manuel;Neuer;Neuer;Manuel Neuer;Bayern München;GOALKEEPER;3600000;78;3.0
pl-k00037056;Tobias;Sippel;Sippel;Tobias Sippel;Bor. Mönchengladbach;GOALKEEPER;500000;0;0.0
pl-k00038851;Norman;Theuerkauf;Theuerkauf;Norman Theuerkauf;1. FC Heidenheim;MIDFIELDER;1300000;0;0.0
pl-k00039161;Sven;Ulreich;Ulreich;Sven Ulreich;Bayern München;GOALKEEPER;1000000;8;3.0
pl-k00039186;Sascha;Burchert;Burchert;Sascha Burchert;FC St. Pauli;GOALKEEPER;500000;0;0.0
pl-k00039245;Oliver;Baumann;Baumann;Oliver Baumann;TSG Hoffenheim;GOALKEEPER;3800000;107;2.83
pl-k00039317;Thomas;Müller;T. Müller;Thomas Müller;Bayern München;MIDFIELDER;4200000;62;3.11
pl-k00040780;Manuel;Riemann;Riemann;Manuel Riemann;VfL Bochum;GOALKEEPER;1800000;0;0.0
pl-k00040891;Jens;Grahl;Grahl;Jens Grahl;Eintracht Frankfurt;GOALKEEPER;800000;0;0.0
pl-k00041690;Manuel;Gulde;Gulde;Manuel Gulde;SC Freiburg;DEFENDER;1800000;0;0.0
pl-k00042122;Kevin;Trapp;Trapp;Kevin Trapp;Eintracht Frankfurt;GOALKEEPER;3200000;62;3.18
pl-k00043592;Mario;Götze;M. Götze;Mario Götze;Eintracht Frankfurt;MIDFIELDER;2500000;60;3.19
pl-k00047579;Nicolas;Höfler;Höfler;Nicolas Höfler;SC Freiburg;MIDFIELDER;2400000;18;4.1
pl-k00047724;Lewis;Holtby;Holtby;Lewis Holtby;Holstein Kiel;MIDFIELDER;1800000;14;4.3
pl-k00048998;Kevin;Volland;Volland;Kevin Volland;1. FC Union Berlin;FORWARD;2000000;2;0.0
pl-k00049258;Timo;Horn;T. Horn;Timo Horn;VfL Bochum;GOALKEEPER;2400000;0;0.0
pl-k00050237;Timothy;Chandler;Chandler;Timothy Chandler;Eintracht Frankfurt;DEFENDER;700000;2;0.0
pl-k00054360;Daniel;Batz;Batz;Daniel Batz;1. FSV Mainz 05;GOALKEEPER;800000;0;0.0
pl-k00054640;Danny;da Costa;da Costa;Danny da Costa;1. FSV Mainz 05;DEFENDER;1200000;36;3.0
pl-k00054652;Pascal;Groß;P. Groß;Pascal Groß;Borussia Dortmund;MIDFIELDER;3800000;40;3.75
pl-k00054657;Kevin;Vogt;Vogt;Kevin Vogt;1. FC Union Berlin;DEFENDER;2500000;66;3.38
pl-k00054894;Simon;Zoller;Zoller;Simon Zoller;FC St. Pauli;FORWARD;1200000;0;0.0
pl-k00057241;Rani;Khedira;R. Khedira;Rani Khedira;1. FC Union Berlin;MIDFIELDER;2200000;52;3.63
pl-k00057245;Marnon;Busch;Busch;Marnon Busch;1. FC Heidenheim;DEFENDER;1300000;22;3.67
pl-k00057247;Marvin;Ducksch;Ducksch;Marvin Ducksch;Werder Bremen;FORWARD;3800000;82;3.57
pl-k00057343;Granit;Xhaka;G. Xhaka;Granit Xhaka;Bayer 04 Leverkusen;MIDFIELDER;6000000;121;2.83
pl-k00057797;Markus;Kolke;Kolke;Markus Kolke;Werder Bremen;GOALKEEPER;500000;0;0.0
pl-k00057894;Kevin;Kampl;Kampl;Kevin Kampl;RB Leipzig;MIDFIELDER;1800000;48;3.4
pl-k00057925;Lukas;Hradecky;Hradecky;Lukas Hradecky;Bayer 04 Leverkusen;GOALKEEPER;3600000;74;3.25
pl-k00058003;Mitchell;Weiser;Weiser;Mitchell Weiser;Werder Bremen;DEFENDER;3000000;94;3.29
pl-k00058007;Emre;Can;Can;Emre Can;Borussia Dortmund;MIDFIELDER;2500000;30;3.9
pl-k00058073;Vitus;Eicher;Eicher;Vitus Eicher;1. FC Heidenheim;GOALKEEPER;800000;0;0.0
pl-k00058548;Peter;Gulacsi;Gulacsi;Peter Gulacsi;RB Leipzig;GOALKEEPER;3600000;126;2.64
pl-k00058740;Alexander;Meyer;A. Meyer;Alexander Meyer;Borussia Dortmund;GOALKEEPER;800000;16;2.5
pl-k00058774;Denis;Thomalla;Thomalla;Denis Thomalla;1. FC Heidenheim;MIDFIELDER;1000000;2;0.0
pl-k00058938;Christopher;Trimmel;Trimmel;Christopher Trimmel;1. FC Union Berlin;DEFENDER;1700000;22;4.0
pl-k00058963;Thomas;Dähne;Dähne;Thomas Dähne;Holstein Kiel;GOALKEEPER;800000;0;0.0
pl-k00059041;Andrej;Kramaric;Kramaric;Andrej Kramaric;TSG Hoffenheim;FORWARD;5000000;75;3.61
pl-k00059580;Kevin;Behrens;K. Behrens;Kevin Behrens;VfL Wolfsburg;FORWARD;1800000;17;5.0
pl-k00060522;Stefan;Bell;Bell;Stefan Bell;1. FSV Mainz 05;DEFENDER;1600000;45;3.4
pl-k00060535;Leonardo;Bittencourt;Bittencourt;Leonardo Bittencourt;Werder Bremen;MIDFIELDER;1700000;20;3.79
pl-k00063586;Alexander;Schwolow;Schwolow;Alexander Schwolow;1. FC Union Berlin;GOALKEEPER;800000;2;4.0
pl-k00063777;Lukas;Kübler;Kübler;Lukas Kübler;SC Freiburg;DEFENDER;1700000;88;3.5
pl-k00063799;Michael;Gregoritsch;Gregoritsch;Michael Gregoritsch;SC Freiburg;FORWARD;3000000;39;3.13
pl-k00064040;Maximilian;Arnold;Arnold;Maximilian Arnold;VfL Wolfsburg;MIDFIELDER;2600000;83;3.25
pl-k00064802;Kevin;Müller;Ke. Müller;Kevin Müller;1. FC Heidenheim;GOALKEEPER;3400000;80;3.3
pl-k00065090;Anthony;Jung;A. Jung;Anthony Jung;Werder Bremen;DEFENDER;2000000;38;3.73
pl-k00065503;Steven;Skrzybski;Skrzybski;Steven Skrzybski;Holstein Kiel;MIDFIELDER;2200000;14;4.0
pl-k00065896;Robin;Zentner;Zentner;Robin Zentner;1. FSV Mainz 05;GOALKEEPER;2800000;121;2.67
pl-k00066084;Pavel;Kaderabek;Kaderabek;Pavel Kaderabek;TSG Hoffenheim;DEFENDER;2200000;16;4.06
pl-k00066249;Stefan;Lainer;Lainer;Stefan Lainer;Bor. Mönchengladbach;DEFENDER;1400000;16;3.88
pl-k00066531;Philipp;Hofmann;P. Hofmann;Philipp Hofmann;VfL Bochum;FORWARD;1800000;29;4.12
pl-k00066745;Niklas;Süle;Süle;Niklas Süle;Borussia Dortmund;DEFENDER;3000000;32;3.17
pl-k00066753;Serge;Gnabry;Gnabry;Serge Gnabry;Bayern München;MIDFIELDER;4000000;60;2.86
pl-k00066754;Leon;Goretzka;Goretzka;Leon Goretzka;Bayern München;MIDFIELDER;4200000;38;3.33
pl-k00067144;Patrick;Drewes;Drewes;Patrick Drewes;VfL Bochum;GOALKEEPER;2000000;72;3.33
pl-k00067514;Kevin;Stöger;Stöger;Kevin Stöger;Bor. Mönchengladbach;MIDFIELDER;3500000;64;3.28
pl-k00067724;Kevin;Akpoguma;Akpoguma;Kevin Akpoguma;TSG Hoffenheim;DEFENDER;1700000;32;3.91
pl-k00068029;Jonas;Hofmann;Hofmann;Jonas Hofmann;Bayer 04 Leverkusen;MIDFIELDER;4000000;14;3.75
pl-k00068578;Julian;Brandt;Brandt;Julian Brandt;Borussia Dortmund;MIDFIELDER;5000000;75;3.33
pl-k00068667;Karol;Mets;Mets;Karol Mets;FC St. Pauli;DEFENDER;1600000;40;3.5
pl-k00069255;Willi;Orban;Orban;Willi Orban;RB Leipzig;DEFENDER;3700000;94;3.08
pl-k00069475;Marcel;Engelhardt;Engelhardt;Marcel Engelhardt;Holstein Kiel;GOALKEEPER;500000;0;0.0
pl-k00070381;Cristian;Gamboa;Gamboa;Cristian Gamboa;VfL Bochum;DEFENDER;1200000;11;4.5
pl-k00070592;Jonathan;Tah;Tah;Jonathan Tah;Bayer 04 Leverkusen;DEFENDER;5500000;111;2.87
pl-k00070605;Harry;Kane;Kane;Harry Kane;Bayern München;FORWARD;8500000;189;2.31
pl-k00070806;Maximilian;Philipp;Philipp;Maximilian Philipp;SC Freiburg;FORWARD;1400000;2;0.0
pl-k00070987;Carl;Klaus;Klaus;Carl Klaus;1. FC Union Berlin;GOALKEEPER;800000;0;0.0
pl-k00070990;Matthias;Ginter;Ginter;Matthias Ginter;SC Freiburg;DEFENDER;3500000;73;3.13
pl-k00070997;Robert;Andrich;Andrich;Robert Andrich;Bayer 04 Leverkusen;MIDFIELDER;3800000;67;3.2
pl-k00071021;Benjamin;Henrichs;Henrichs;Benjamin Henrichs;RB Leipzig;DEFENDER;3400000;44;3.73
pl-k00071150;Joshua;Kimmich;Kimmich;Joshua Kimmich;Bayern München;DEFENDER;5000000;130;2.6
pl-k00071151;Niklas;Stark;Stark;Niklas Stark;Werder Bremen;DEFENDER;2000000;49;3.45
pl-k00071294;Dominik;Kohr;Kohr;Dominik Kohr;1. FSV Mainz 05;DEFENDER;2000000;73;3.25
pl-k00071610;Janik;Haberer;Haberer;Janik Haberer;1. FC Union Berlin;MIDFIELDER;1700000;24;3.9
pl-k00071930;Yannick;Gerhardt;Gerhardt;Yannick Gerhardt;VfL Wolfsburg;MIDFIELDER;2000000;28;3.7
pl-k00071980;Marius;Müller;M. Müller;Marius Müller;VfL Wolfsburg;GOALKEEPER;1000000;0;0.0
pl-k00072199;Christopher;Lenz;C. Lenz;Christopher Lenz;TSG Hoffenheim;DEFENDER;1400000;0;0.0
pl-k00072607;Niklas;Lomb;Lomb;Niklas Lomb;Bayer 04 Leverkusen;GOALKEEPER;500000;0;0.0
pl-k00072676;Benedikt;Gimber;Gimber;Benedikt Gimber;1. FC Heidenheim;DEFENDER;1800000;36;3.86
pl-k00072684;Leopold;Zingerle;Zingerle;Leopold Zingerle;RB Leipzig;GOALKEEPER;500000;0;0.0
pl-k00072706;Christian;Günter;C. Günter;Christian Günter;SC Freiburg;DEFENDER;2600000;71;3.43
pl-k00072755;Alexander;Nübel;Nübel;Alexander Nübel;VfB Stuttgart;GOALKEEPER;3400000;95;3.07
pl-k00072759;Vincenzo;Grifo;Grifo;Vincenzo Grifo;SC Freiburg;MIDFIELDER;4000000;110;3.23
pl-k00073015;Anthony;Losilla;Losilla;Anthony Losilla;VfL Bochum;MIDFIELDER;2000000;34;3.77
pl-k00073206;Marcel;Sabitzer;Sabitzer;Marcel Sabitzer;Borussia Dortmund;MIDFIELDER;4000000;28;3.88
pl-k00073704;Patrick;Mainka;P. Mainka;Patrick Mainka;1. FC Heidenheim;DEFENDER;2800000;58;3.67
pl-k00075006;Jeffrey;Gouweleeuw;Gouweleeuw;Jeffrey Gouweleeuw;FC Augsburg;DEFENDER;2200000;40;3.82
pl-k00075072;Alassane;Plea;Plea;Alassane Plea;Bor. Mönchengladbach;FORWARD;2500000;91;3.39
pl-k00075198;Finn;Porath;Porath;Finn Porath;Holstein Kiel;MIDFIELDER;1600000;42;3.73
pl-k00075261;Haris;Tabakovic;Tabakovic;Haris Tabakovic;TSG Hoffenheim;FORWARD;2500000;19;4.0
pl-k00075379;Silvan;Widmer;Widmer;Silvan Widmer;1. FSV Mainz 05;DEFENDER;1800000;22;5.0
pl-k00075608;Finn;Dahmen;Dahmen;Finn Dahmen;FC Augsburg;GOALKEEPER;1200000;0;0.0
pl-k00075624;Niklas;Dorsch;Dorsch;Niklas Dorsch;1. FC Heidenheim;MIDFIELDER;1500000;36;3.72
pl-k00075625;Dennis;Geiger;Geiger;Dennis Geiger;TSG Hoffenheim;MIDFIELDER;1600000;12;4.25
pl-k00075628;Salih;Özcan;S. Özcan;Salih Özcan;VfL Wolfsburg;MIDFIELDER;1800000;22;3.88
pl-k00075632;Johannes;Eggestein;J. Eggestein;Johannes Eggestein;FC St. Pauli;FORWARD;1700000;49;3.93
pl-k00075651;Frederik;Rönnow;Rönnow;Frederik Rönnow;1. FC Union Berlin;GOALKEEPER;3200000;98;3.0
pl-k00076053;Michael;Zetterer;Zetterer;Michael Zetterer;Werder Bremen;GOALKEEPER;3200000;80;3.27
pl-k00076421;Phillipp;Mwene;Mwene;Phillipp Mwene;1. FSV Mainz 05;DEFENDER;1800000;86;3.2
pl-k00076446;Yussuf;Poulsen;Y. Poulsen;Yussuf Poulsen;RB Leipzig;FORWARD;2200000;18;4.0
pl-k00076575;Lukas;Klostermann;Klostermann;Lukas Klostermann;RB Leipzig;DEFENDER;2000000;44;3.44
pl-k00076799;Julian;Weigl;Weigl;Julian Weigl;Bor. Mönchengladbach;MIDFIELDER;2200000;42;3.75
pl-k00076954;Tim;Kleindienst;Kleindienst;Tim Kleindienst;Bor. Mönchengladbach;FORWARD;3800000;132;3.07
pl-k00077009;Ihlas;Bebou;Bebou;Ihlas Bebou;TSG Hoffenheim;FORWARD;2500000;0;0.0
pl-k00077322;Niklas;Klinger;Klinger;Niklas Klinger;VfL Wolfsburg;GOALKEEPER;500000;0;0.0
pl-k00077333;Marvin;Friedrich;Friedrich;Marvin Friedrich;Bor. Mönchengladbach;DEFENDER;1600000;42;3.29
pl-k00077817;Hauke;Wahl;Wahl;Hauke Wahl;FC St. Pauli;DEFENDER;1800000;64;3.43
pl-k00078467;Maximilian;Wittek;Wittek;Maximilian Wittek;VfL Bochum;DEFENDER;1700000;36;3.93
pl-k00078917;Jannik;Huth;J. Huth;Jannik Huth;SC Freiburg;GOALKEEPER;500000;0;0.0
pl-k00079036;Mahmoud;Dahoud;Dahoud;Mahmoud Dahoud;Eintracht Frankfurt;MIDFIELDER;2000000;30;3.3
pl-k00079078;Nikola;Vasilj;Vasilj;Nikola Vasilj;FC St. Pauli;GOALKEEPER;2200000;120;2.77
pl-k00079176;Atakan;Karazor;Karazor;Atakan Karazor;VfB Stuttgart;MIDFIELDER;3000000;59;3.5
pl-k00079188;Timo;Becker;T. Becker;Timo Becker;Holstein Kiel;DEFENDER;1800000;18;4.13
pl-k00079199;Moritz;Nicolas;Nicolas;Moritz Nicolas;Bor. Mönchengladbach;GOALKEEPER;1800000;87;2.88
pl-k00079360;Pascal;Stenzel;P. Stenzel;Pascal Stenzel;VfB Stuttgart;DEFENDER;1700000;4;4.5
pl-k00079484;Eric;Oelschlägel;Oelschlägel;Eric Oelschlägel;FC St. Pauli;GOALKEEPER;500000;0;0.0
pl-k00079503;Maximilian;Eggestein;M. Eggestein;Maximilian Eggestein;SC Freiburg;MIDFIELDER;2500000;44;3.71
pl-k00079504;Florian;Grillitsch;Grillitsch;Florian Grillitsch;TSG Hoffenheim;MIDFIELDER;2600000;26;3.69
pl-k00079543;Leroy;Sané;L. Sané;Leroy Sané;Bayern München;MIDFIELDER;6500000;48;3.42
pl-k00079577;Marius;Wolf;M. Wolf;Marius Wolf;FC Augsburg;MIDFIELDER;1800000;29;4.14
pl-k00079713;Jonas;Föhrenbach;Föhrenbach;Jonas Föhrenbach;1. FC Heidenheim;DEFENDER;1700000;46;3.77
pl-k00079813;Maximilian;Mittelstädt;Mittelstädt;Maximilian Mittelstädt;VfB Stuttgart;DEFENDER;3500000;69;3.5
pl-k00079914;Marvin;Schulz;M. Schulz;Marvin Schulz;Holstein Kiel;MIDFIELDER;1400000;6;4.83
pl-k00079917;Daniel-Kofi;Kyereh;Kyereh;Daniel-Kofi Kyereh;SC Freiburg;MIDFIELDER;1200000;0;0.0
pl-k00079935;Lucas;Höler;Höler;Lucas Höler;SC Freiburg;FORWARD;2800000;61;3.19
pl-k00080029;Patrick;Erras;Erras;Patrick Erras;Holstein Kiel;DEFENDER;1700000;22;4.15
pl-k00080083;Nadiem;Amiri;Amiri;Nadiem Amiri;1. FSV Mainz 05;MIDFIELDER;3500000;90;3.07
pl-k00080088;Grischa;Prömel;Prömel;Grischa Prömel;TSG Hoffenheim;MIDFIELDER;2500000;6;3.75
pl-k00080174;Waldemar;Anton;Anton;Waldemar Anton;Borussia Dortmund;DEFENDER;4000000;44;3.45
pl-k00080342;Felix;Passlack;Passlack;Felix Passlack;VfL Bochum;DEFENDER;1400000;36;3.97
pl-k00080351;Chris;Führich;Führich;Chris Führich;VfB Stuttgart;MIDFIELDER;5000000;59;3.41
pl-k00080364;Amos;Pieper;Pieper;Amos Pieper;Werder Bremen;DEFENDER;1600000;18;3.7
pl-k00080554;Elvis;Rexhbecaj;Rexhbecaj;Elvis Rexhbecaj;FC Augsburg;MIDFIELDER;1600000;38;3.88
pl-k00080766;Florian;Müller;F. Müller;Florian Müller;SC Freiburg;GOALKEEPER;800000;10;3.25
pl-k00080875;Adrian;Beck;Beck;Adrian Beck;1. FC Heidenheim;MIDFIELDER;1300000;34;3.83
pl-k00081437;Kingsley;Coman;Coman;Kingsley Coman;Bayern München;MIDFIELDER;4200000;64;3.22
pl-k00081465;Alejandro;Grimaldo;Grimaldo;Alejandro Grimaldo;Bayer 04 Leverkusen;DEFENDER;6500000;93;3.2
pl-k00081913;Florian;Neuhaus;Neuhaus;Florian Neuhaus;Bor. Mönchengladbach;MIDFIELDER;2200000;12;0.0
pl-k00081971;Jackson;Irvine;Irvine;Jackson Irvine;FC St. Pauli;MIDFIELDER;2200000;63;3.6
pl-k00082076;Timon;Weiner;Weiner;Timon Weiner;Holstein Kiel;GOALKEEPER;2400000;62;3.5
pl-k00082087;Arne;Maier;Maier;Arne Maier;FC Augsburg;MIDFIELDER;1600000;24;4.0
pl-k00082119;Fabian;Bredlow;Bredlow;Fabian Bredlow;VfB Stuttgart;GOALKEEPER;800000;0;0.0
pl-k00082539;Milos;Veljkovic;Veljkovic;Milos Veljkovic;Werder Bremen;DEFENDER;1700000;16;3.7
pl-k00082711;Sirlord;Conteh;S. Conteh;Sirlord Conteh;1. FC Heidenheim;MIDFIELDER;1300000;10;4.13
pl-k00082727;Robin;Hack;R. Hack;Robin Hack;Bor. Mönchengladbach;MIDFIELDER;3500000;42;3.82
pl-k00082732;Denis;Vavro;Vavro;Denis Vavro;VfL Wolfsburg;DEFENDER;1800000;41;3.7
pl-k00082966;Matus;Bero;Bero;Matus Bero;VfL Bochum;MIDFIELDER;1600000;54;3.65
pl-k00083673;Ivan;Ordets;Ordets;Ivan Ordets;VfL Bochum;DEFENDER;1800000;14;4.13
pl-k00083812;Gerrit;Holtmann;Holtmann;Gerrit Holtmann;VfL Bochum;FORWARD;1000000;14;3.9
pl-k00083928;Aymen;Barkok;Barkok;Aymen Barkok;1. FSV Mainz 05;MIDFIELDER;1200000;10;3.0
pl-k00083988;Marius;Bülter;Bülter;Marius Bülter;TSG Hoffenheim;FORWARD;2400000;68;3.32
pl-k00084309;Jonas;Omlin;Omlin;Jonas Omlin;Bor. Mönchengladbach;GOALKEEPER;2600000;14;3.5
pl-k00084365;Nico;Elvedi;Elvedi;Nico Elvedi;Bor. Mönchengladbach;DEFENDER;2000000;55;3.17
pl-k00084523;Eric;Dier;Dier;Eric Dier;Bayern München;DEFENDER;3200000;14;3.5
pl-k00084538;Manolis;Saliakas;Saliakas;Manolis Saliakas;FC St. Pauli;DEFENDER;1600000;37;3.88
pl-k00084545;Marco;Komenda;Komenda;Marco Komenda;Holstein Kiel;DEFENDER;1200000;10;4.13
pl-k00084550;Robin;Koch;R. Koch;Robin Koch;Eintracht Frankfurt;DEFENDER;3000000;84;3.1
pl-k00084940;Philipp;Lienhart;Lienhart;Philipp Lienhart;SC Freiburg;DEFENDER;3000000;71;3.4
pl-k00084943;Konrad;Laimer;Laimer;Konrad Laimer;Bayern München;MIDFIELDER;3200000;46;3.25
pl-k00085013;Joao Maria;Lobo Alves Palhinha Goncalves;Joao Palhinha;Joao Palhinha;Bayern München;MIDFIELDER;5000000;38;2.63
pl-k00085014;André;Silva;Silva;André Silva;RB Leipzig;FORWARD;2800000;25;2.75
pl-k00085252;Naby;Keita;N. Keita;Naby Keita;Werder Bremen;MIDFIELDER;1600000;0;0.0
pl-k00085382;Julian;Chabot;Chabot;Julian Chabot;VfB Stuttgart;DEFENDER;3200000;61;3.35
pl-k00085575;Reece;Oxford;Oxford;Reece Oxford;FC Augsburg;DEFENDER;1000000;0;0.0
pl-k00085778;Patrik;Schick;Schick;Patrik Schick;Bayer 04 Leverkusen;FORWARD;4000000;100;2.1
pl-k00086106;Phillip;Tietz;P. Tietz;Phillip Tietz;FC Augsburg;FORWARD;1800000;59;3.75
pl-k00086166;Raphael;Guerreiro;Guerreiro;Raphael Guerreiro;Bayern München;DEFENDER;3400000;52;3.36
pl-k00087441;Steve;Mounié;Mounié;Steve Mounié;FC Augsburg;FORWARD;1600000;12;4.13
pl-k00087673;Gregor;Kobel;Kobel;Gregor Kobel;Borussia Dortmund;GOALKEEPER;4200000;76;3.15
pl-k00087705;Ermedin;Demirovic;Demirovic;Ermedin Demirovic;VfB Stuttgart;FORWARD;4800000;73;3.65
pl-k00087750;David;Raum;Raum;David Raum;RB Leipzig;DEFENDER;3600000;32;3.33
